company,job,description,link,link_status
Coopemontecillos,Personal de Carnicería en Todo Costa Rica,"Cajeros(as) Todo Costa Rica.Dependientes Todo Costa Rica.Carniceros.Administradores de Centros de carne.Motorizado(as) con licencia A2 vigente Todo Costa Rica.Requisitos:Carnet de manipulación de alimentos.Experiência 1-3 años en el puesto deseado.indicando el puesto que desea aplicar y en que zona de costa RicaTipo de puesto: Tiempo completo, PermanenteSalario: ₡1.00 - ₡2.00 al mes",https://www.emprego.pt/en/jobs/show/30393025555541256880721325838,existe
CONARE,Concurso Externo 03-2022 Investigador (Propiedad),"ACERCA DE LA VACANTEFunciones del PuestoEl trabajo impone el análisis y solución de problemas generalmente relacionados con programas e investigaciones sustantivas en las áreas: científica, técnica o administrativa, para lo cual es necesario una gran experticia. Además, requiere ejecutar, coordinar, supervisar y controlar proyectos para el desarrollo y análisis de indicadores; coordinar proyectos e iniciativas complejas con diferentes equipos de trabajo como insumo para la toma de decisiones, apoyándose en tecnologías y sistemas de información que permitan presentar estudios de diversa índole. Las decisiones son de gran trascendencia pues impactan la cadena de valor-servicio.Requisitos del Puesto- El puesto exige el grado mínimo de Bachillerato y Licenciatura o Bachillerato y Maestría en las siguientes disciplinas: Computación, ingeniería industrial, estadística o economía.Experiência Deseada- Experiência mínima de 36 meses en procesos de planificación, diseño y ejecución de las diferentes etapas en proyectos de investigación, relacionados con: impacto educativo, calidad u otros en educación superior, así como en análisis e interpretación de datos e información estadística.Habilidades Deseadas- Preparación técnica complementaria en las siguientes temáticas: Manejo fluido del idioma inglés tanto escrito como oral, Manejo básico de herramientas de ciencias de datos y administración de bases de datos (por ejemplo: R, MSQL, Pentaho), Manejo de herramientas (pptx, genially, canva u otras de producción de contenido, infografías u otros), administración de proyectos, conocimiento en estadística descriptiva e inferencial, elaboración y redacción de informes técnicos, entre otros a valorar.Competencias cardinales y específicasÉticaIntegridadRespetoCompromisoLiderazgoTrabajo en equipoPensamiento analíticoGestión y logro de objetivosComunicación eficazManejo de crisisPara la verificación del apartado de competencias técnicas, cardinales y específicas, se debe realizar una tabla anexa al curriculum vitae que contenga los enunciados que se describen a continuación, en caso que no se presente dicha tabla, se le dará el porcentaje cero.OTROS DETALLESArea del PuestoAdministraciónUbicación del PuestoPavas, Rohmoser, San Jose, Costa RicaSalario940.825,63 (Moneda Local)Nível AcadémicoLicenciaturaNível de Cómputo",https://www.emprego.pt/en/jobs/show/30393025795348929911053841778,existe
Moody's,Associate Operations Analyst,"The Regulatory Support and Controls (RSC) team in MIS Operations is responsible for the execution, support, remediation and controls of processes and enabling technology that support the end-to-end credit rating process and regulatory-mandated processes. RSC is looking for an Associate Ops Analyst to join the team.The Associate Ops Analyst serves a primary role in delivering key initiatives and managing business processes that are critical to the execution of MIS strategies and establishing standard operational objectives. Individual will work closely with a variety of key stakeholders within MIS Operations and across the MIS organization.Perform global tactical operations activities and participate in cross-functional projects related to the end-to-end MIS ratings process, business transformation directives and evolving regulatory requirementsReview and validate rating process output, including documents, reports and communications, to identify and remediate potential errors and ensure analysts are complying with regulatory requirements and Moody’s policies, procedures and guidelines (e.g. Rating Committee documentation reviews, Analyst Assignment, Analyst Rotation, Conflict Management, etc.). Discuss findings with Process Owners, and coordinate with them to resolve any issues questions.Recommend opportunities to standardize operational business processes and enhance operating efficiency for the end-to-end rating processPerform root cause analysis, remediation and process improvements to strengthen operational controls and enhance business processesDemonstrates ability to identify and understand the risks associated with the area under review.Communicate and meet with other Moody’s teams (e.g. ODC and MIT) to resolve any requests or questionsActively participates and listens in internal/external meetings, and demonstrates ability to capture and clearly summarize discussion items from the meetings;Continue expanding knowledge of internal control/risk governance frameworks.Executes audit test steps and delivers a quality work product, free of errors and on timeDevelop Subject Matter Expertise on Rating Processes as well as Policies, Procedures and GuidelinesApplies process analysis, business intelligence, and problem-solving techniques when planning an audit, performing walkthroughs, and identifying effective test steps.Regularly prepare senior management reporting and performance metricsIdentify and track the status of outstanding projects (including issues, risks, and dependencies)Implement remediation efforts (e.g. MIS Remediation Program)Understand Standard Operating ProceduresCollaborate with team members to develop and update content and training materials (e.g. communications, Guidelines, FAQ’s, presentations, etc.)Undergraduate BA/BS degree in business, finance/economics, audit or similar field0-3 years of business process or business analysis experiences with strong analytical and problem-solving skillsAbility to interact comfortably with different levels of management and articulate/present issues clearly and succinctly.Self-motivated with the ability to meet tight individual and/or group deadlinesTeam player with strong ability to adapt to change quickly and to balance multiple prioritiesOutstanding interpersonal skills with the ability to reach across organization to obtain informationHighly organized and efficient, with an attention to detail and excellent communication skillsAbility to facilitate, negotiate, and resolve interpersonal or inter-team conflictsStrong knowledge of MS Excel (VBA, macros, VLOOKUP, etc.), Word and PowerPoint required; Access preferredKnowledge of Moody’s rating systems, analysis tools and operational processes a plus.Basic knowledge of internal controls, internal controls framework and risk standards (e.g. COSO, ISO, NIST etc.), Sarbanes Oxley Act, regulations pertaining to financial services industryROCMoody’s is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, sexual orientation, gender expression, gender identity or any other characteristic protected by law.Moody’s Investors Service is among the world’s most respected and widely utilized sources for credit ratings and research. Our opinions and analysis on a broad range of credit obligors and obligations are valued around the world for their insight and rigor.At MIS, our workplace culture supports our mission to be the Agency of Choice for our customers, employees and future employees. Our Culture focuses on Excellence and embodies behavioral qualities such as Integrity, Responsiveness, Collaboration, Respect and Passion. Our people are our core asset and we look beyond outcomes to ensure that behaviors and interactions matter.",https://www.emprego.pt/en/jobs/show/30393027861384266166523622771,existe
Pfizer,Country Brand Manager Rare Disease,"Responsable de diseñar y ejecutar estrategias de mercadotecnia para el portfolio de Enfermedades Raras con base al ciclo de vida de cada producto (posicionamiento, competidores, productos nuevos, extensiones de línea, promoción, targeting) mediante la colaboración con las partes interesadas en otras Unidades Comerciales. Así mismo asegurar el lanzamiento exitoso de los productos del pipeline, considerando planeación de la demanda, administración del presupuesto, desarrollo de programas de apoyo al paciente, alianzas con sociedades médicas y KOLs, así como la creación de herramientas para el equipo de Fuerza de Ventas.POSITION RESPONSIBILITIESDesarrollar enfoques específicos de canal para los segmentos de clientes clave (por ejemplo, Retail, Instituciones cuadros básicos)Desarrollo e implementación de la campaña de lanzamiento para cada producto a través de un plan Omnichannel buscando la innovación y correcto posicionamiento del portafolioAnálisis, interpretación y desarrollo de planes de acción para las marcas con información Sell In, Sell Out, InventariosAnalizar cierre de ventas mensual, encontrar variaciones y ajustar planes para lograr los objetivos de ventas y la mejor planeación de la demandaAnálisis de Precios por tratamientos vs competidores y monitoreo a través de fuerza de ventasApoyo a colegas de fuerza de ventas en requerimientos de materiales para los eventos, así como colaborar en la organización y participación en congresos de EMC y programas de apoyo a pacientesSinergias en Educación médica con sociedades y KOL´sDesarrollar estrategias de marketing digital.Participar en campañas específicas de la marca o de portafolio de acuerdo a plan de trade marketing o bien para iniciativas por estacionalidadControl de presupuesto de venta y gasto vs la ejecución del mismo en lo planeadoElaboración de Forecast de los productos para garantizar el suministro de los mismos trabajando en conjunto con demand planning y S&OPDesarrollar materiales de promoción y campañas con Pfizer Ink y proveedores (Medical, Regulatorio, Proveedores)Coordinar Advisory Boards, Speaker Training, Summits, así como eventos organizados por la región.Trabajo con clientes en campo con el fin de conocer insights del negocio.Comunicación con equipo regional sobre desempeño de las marcas e iniciativas de crecimiento.ORGANIZATIONAL RELATIONSHIPSDirector General, Category Leads, Medical, Gerente de portafolio (CBL), RTAL, BIL´s (equipo regional), Comercial KAMS, Trade marketing, Acceso, KAM´s gobierno, Regulatorio, Legal, Compliance, Fuerza de Ventas y Gerentes de Ventas.EDUCATION AND EXPERIENCEIndispensable:+3 años de experiência en marketing+3 años de experiência en la industria farmacéutica (de preferencia en alta especialidad y/o Enfermedades Raras)Inglés AvanzadoManejo de Power Point, Excel, Word avanzadosDeseable:Experiência en Fuerza de Ventas.Manejo de Excel experto.Lanzamiento de nuevos productos / indicaciones farmacéuticos de alta especialidadTECHNICAL SKILLS REQUIREMENTSCompetencias Esperadas:Trabajo en EquipoLiderazgoAutogestión/ EmpoderamientoComunicación asertivaManejo de complejidad: priorización, gestión de proyectos, trabajo en equipo virtual.AutoconocimientoCapacidad de análisisVisión estratégicaInnovaciónCompetencias comerciales / gestión:Entendimiento de Mercados y clientes así como competencia, clientes y proveedores internos así como externosNegocio Estratégico y Operacional / Planificación del plan de mercadotecnia y la ejecución en tiempo y formaAnálisis de Datos, Interpretación y Comunicación para evaluación de mercados, inventarios, planeación de demanda, etc.Analiza y propone con base a métricas de DesempeñoPfizer is an equal opportunity employer and complies with all applicable equal employment opportunity legislation in each jurisdiction in which it operates.Marketing and Market Research",https://www.emprego.pt/en/jobs/show/30393027972064730536672587535,existe
Bacardi,Rtr General Ledger Team Lead,"Your OpportunityThis role will lead the General Ledger operation for Americas markets in BES organization, responsible for a group of legal entities, overseeing and keeping complete record of business transactions based on accounting rules, regulations and company policies.About YouYou are a nurturing leader who places consumer at the heart of all you do. You inspire others to work collaboratively and you actively promote your team to think creatively. You are not afraid to challenge the status quo but do so whilst championing our Family culture.With this role, you will work in a multicultural environment. Communication and interpersonal relationships are highly value skills in our organization. Your proactiveness and results driven mindset will be crucial for your success.Responsibilities:With our Consumer at the heart, your key focus will be to:People Manager of 7 PrimosProvide service and perform coordination/ revision tasks related to the General Ledger team within BES, which serves over 86 legal entities and Corporate Headquarters operations.Demonstrating a strong (and collaborative) leadership style that empowers the work team to achieve desired outcomes.Interacting and collaborating with local business partners and global process owners to identify strategic opportunities.Develop capability, skills and technical mastery in the team.Review performance of the team and progress on their development plans.Developing a mindset of continuous improvement by constantly striving for ways to leverage process efficiencies on a global basis.Ensuring a robust internal control structure.Achieving a high level of global process efficiency and effectiveness.Consistently meet or exceed Service Level Agreements and Key Performance Indicators.Ensure General Ledger process complies with Bacardi best practices and PoliciesSkills and ExperienceThe Skills & Experience needed to create your legacyA leader capable of inspiring and driving productivity whilst building primo capabilities. Ability to lead and influence a sizeable team.Previous and strong experience in Accounting, using SAP platform.Strong analytical, diagnostic, and problem-solving skills. Ability to understand complex issues and provide analysis & solutions where appropriate.Ability to prioritize tasks and manage your time and your team time efficiently. Sense of urgency.Ability to push creative thinking beyond the boundaries of existing company practices and mindsets. Think and plan strategically to enhance designated processes including technology enhancements.Excellent interpersonal & communication skills, being able to communicate with high levels of the organization and negotiate process changes. Ability to develop deep and trusted relationships with the team, peers and stakeholders.The following experiences are preferred:Experience in the Spirits and/or FMCG industry is a distinct advantage.Experience in Shared Services environment preferred.Solid knowledge of Bacardi Business Partner/Shared Services/Centre of Expertise.Foreign language skills (English 90%) preferred.Previous experience in General Ledger tasksUniversity degree in Accounting/Business/Finance or related disciplinePersonal QualitiesBelonging: You have a strong capacity to create a culture of ‘Belonging’, where people feel appreciated for who they are, what they do, and who they can become.Self-Awareness: You have high levels of self-awareness, are reflective and know yourself well, understanding both your own strengths and weaknesses and your impact on others.People Agility: You bring a deep ability to understand and relate to people and navigate through tough situations to harness and multiply collective performance.Results Agility: You demonstrate consistent delivery of results in first-time situations by inspiring teams, exhibiting a presence that builds confidence in yourself and others.Mental Agility: You can think critically to penetrate complex problems and expand the possibilities by making fresh connections. You think strategically whilst being execution focused and bring creativity to the challenges, you’re presented with.Our cultureWe share the passion and entrepreneurial flair of our founder and are guided by our three culture pillars - Fearless, Family and Founders, they inspire our Primos to be the best they can be and drive us forward in all we do. But what does this mean?Being Fearless; means adopting an agile mindset, being comfortable trying new things and taking risks. We are empowered to question, challenge and innovate.Family; We treat each other, and our communities, like Family. Always.Founders; The spirit of entrepreneurship is at the heart of everything we do. We see the business as if it’s our own. We do the right thing for the business and we all take accountability for our work.When you join Bacardi, you become p",https://www.emprego.pt/en/jobs/show/30393031772094010119077712112,existe
Moody's,Senior Accountant,"Prepare and/or review monthly revenue journal entriesPrepare account reconciliations and detailed analysis to support balance sheet accounts (i.e., deferred revenue, unbilled receivable, unapplied cash); identify and resolve variancesReconcile sub-ledger systems to the general ledgerAnalyze revenue and deferred revenue activityUnderstand billing practices for each line of businessBe familiar with revenue accounting standards (i.e., ASC 606), US GAAP and SOXRecommend improvements to the existing workflow and implement approved changesProvide support on ad hoc projects including testing and documentation of current and new systemsLiaise with international offices to obtain general ledger information processed locallyTroubleshoot issues that arise in the departmentKeep informed on issues that will impact billing and revenue recognition processesUnderstand and ensure compliance with internal controls and Moody’s accounting policies with respect to their proceduresAdditional duties / special projects as assigned by your managerBachelor’s degree in Accounting / Finance required5+ years related experiencePublic accounting experience is preferredCommenced or seeking professional qualifications is preferredStrong knowledge of Microsoft Excel and Word; Knowledge of Microsoft Power BIKnowledge of SAP financial system and BlackLine is a plus but not necessaryAble to handle multiple tasks simultaneously and perform in a quick paced environmentStrong organizational, analytical and problem solving skills and attention to details are a musCompetent written and verbal communication skills englsih/spanishGlobal MIS Revenue Accounting (755470)Moody’s is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, sexual orientation, gender expression, gender identity or any other characteristic protected by law.Moody’s Shared Services are the front line professionals including Finance, Technology, Legal, Compliance and Human Resources, that operationally support our business units. Exceptional Shared Services teams are vital to the international success of our business.At MIS, our workplace culture supports our mission to be the Agency of Choice for our customers, employees and future employees. Our Culture focuses on Excellence and embodies behavioral qualities such as Integrity, Responsiveness, Collaboration, Respect and Passion. Our people are our core asset and we look beyond outcomes to ensure that behaviors and interactions matter.",https://www.emprego.pt/en/jobs/show/30393033893469578595676147953,existe
Bold Business,Influencer Marketing Manager [100% Remote],"We are seeking a digitally savvy, experienced marketing mind who loves working with influencers and using social media. This role starts ASAP and is fully remote so you can work from anywhere in the world.You’ll work for a fintech startup client who’s on a mission to solve the US student debt problem. We’re backed by the world's greatest startup investors including 500 Startups.If you're passionate about making an impact on people's lives every day and would like to work in a fast-paced environment remotely, then we want to chat with you! Join us as we build the foundations of something great and help us scale from thousands of members to our first million.Responsibilities:Craft innovative/advantageous partnerships with social media influencers/content creators who can drive orders spread positive word of mouth and increase overall brand reach.Lead communication on influencer campaigns between the company and influencers, ensure campaign and messaging are executed correctly and on time, and optimize strategy when necessary.Strategize with the Head of Brand Marketing to ensure partnerships are driving cost-efficient customer acquisition and make real-time necessary updates to partnerships in an effort to exceed goals.A passion for building and cultivating relationships with influencers in the digital space.Why we think this job is great:Our company highly promotes work-life balance.You’ll have the resources you need to learn, lead, and deliver resultsYou’ll be eligible for company benefits including health coverage (medical, dental, vision), vacation leave, bereavement leave, and life insurance.Qualifications:2+ years experience in the influencer marketing realm.Social media wizard who is well-versed in all platforms (IG, YouTube, Facebook, Twitch, TikTok, etc.) and in tune with how the Influencer Marketing landscape differs across each respective platform.Adept at core marketing principles and metrics such as ROI, CPA, engagement rate, etc.Strong written and verbal communicator. Effectively communicating to a large number of people while representing the brand is of high importance.About UsBold Business is a remote-first, global outsourced-solutions company with over $7B in service solutions over the past 25 years. Our international team helps the world’s leading companies transform their ideas into bold impacts. From Fortune 500 organizations looking to reduce operational costs by 40%-60% to fast-growth startups looking to scale, we work behind the scenes and empower companies to do more for less.If you like to move fast and have a bias for action, you’ll fit right into our fast-paced, results-based environment. We’re a 100% remote/virtual team environment where you can work from wherever you are.",https://www.emprego.pt/en/jobs/show/30393045330450904295598149874,existe
CRTC,Night Shift Operator/operador Nocturno,"The night shift operator/guard will accompany the clients during the programmed, therapeutic, recreational, sports, and cultural activities, during the evening hours. He/she will oversee compliance with the rules during the evening hours.Descripción del EmpleoEl operador / guardia del turno de noche acompañará a los clientes durante las actividades programadas, terapéuticas, recreativas, deportivas y culturales, en horas de noche. Él / ella supervisará el cumplimiento de las reglas durante las horas de la noche.Job Types: Full-time, Part-time, PermanentSalary: ₡300,000.00 - ₡350,000.00 per monthJob Type: Part-timeSalary: ₡300,000.00 - ₡400,000.00 per monthCOVID-19 considerations:Precauciones recomendadas por el ministerio de salud.Ability to commute/relocate:San José, Provincia de San José: Reliably commute or planning to relocate before starting work (required)",https://www.emprego.pt/en/jobs/show/30393049776116226059600089331,existe
Tek Experts,Recruitment Coordinator,"Overview:A career in tech. Work with the biggest and best names in technology.We are looking for teammates who want to be part of the tech movement. People who want to progress their career now and gain experience for tomorrow. You will work with some of the biggest and best names in technology. Our employee mission is to help you progress in both your career and in life. To create a great experience for you that can translate to customers. We celebrate diversity in every way. In fact, it’s the reason we’ve grown so fast. If you like being part of a global team are passionate about technology and creative problem solving, and want to leave a mark bigger than yourself, we should talk.Responsibilities:This role will:Support, administer, and update our applicant tracking system (ATS).Post job ads on career websites, newspapers, and university boards, and monitor their effectiveness.Take notes in interviews and assist the hiring team.Contact new employees and prepare onboarding sessions.Maintain a complete record of interviews and new hires.Attend and host job fairs, career events, and assessment events.Provide reporting for the Recruitment Manager and Global Head of Talent Acquisition.Qualifications:Bachelor’s degree in Human Resources, Organizational Psychology, or related fieldAt least 1 year of recruitment experience as an in-house recruiter, headhunter, or with a recruitment agency — experience in IT recruitment is helpful.Familiarity with MS Office toolsExcellent multitasking and organizational skillsProficiency in both written and oral EnglishSelf-motivation and accountability for meeting your obligations",https://www.emprego.pt/en/jobs/show/30393051510110168988297941236,existe
Fast Dolphin,Oracle Líder Funcional Procurement Cloud,"Oracle Líder Funcional Procurement CloudSan José / Costa RicaDescripciónPosición: Consultor Funcional Oracle Procurement CloudLugar: México o LATAMDuración:12 meses más extensionesFecha de Inicio:Mayo 2022Fecha fin:Requisitos:3 años de experiência en Procurement Cloud2 años de experiência en rol técnico en OracleExperiência en implementaciones con OracleDeseable haber gestionado equipos de trabajoLigia PadillaRecruiting MasterFast Dolphin, Inc.12555 Orange Drive, Suite 4059Ft. Lauderdale, FL 33330Phone: +1-954-289-0139Fecha de publicación: 09T13:35:15.448174Z-03-2022",https://www.emprego.pt/en/jobs/show/30393052340213651906990272272,existe
